AcresBurned,ArchiveYear,CountyIds,Counties,Latitude,Longitude
257314.0,2013,55,Tuolumne,37.857,-120.086
30274.0,2013,19,Los Angeles,34.585595,-118.423176
27531.0,2013,33,Riverside,33.7095,-116.72885
27440.0,2013,31,Placer,39.12,-120.65
24251.0,2013,56,Ventura,0.0,0.0
22992.0,2013,10,Fresno,37.279,-119.318
20292.0,2013,33,Riverside,33.86157,-116.90427
14754.0,2013,47,Siskiyou,41.32,-123.176
12503.0,2013,12,Humboldt,41.035,-123.488
11429.0,2013,52,Tehama,40.042629999999996,-121.85396999999999
8073.0,2013,45,Shasta,40.498332,-122.535496
7055.0,2013,37,San Diego,32.95435,-116.47381000000001
6965.0,2013,52,Tehama,40.190062,-121.595555
4346.0,2013,"15,56",Kern,34.7861,-118.9411
4346.0,2013,"15,56",Ventura,34.7861,-118.9411
3505.0,2013,49,Sonoma,38.8167,-122.8498
3166.0,2013,33,Riverside,34.288877,-116.94131100000001
3111.0,2013,7,Contra Costa,37.90757,-121.88258200000001
2781.0,2013,37,San Diego,33.121109999999994,-116.52578999999999
2462.0,2013,4,Butte,39.446267999999996,-121.38236
2236.0,2013,37,San Diego,33.341,-117.3092
2060.0,2013,54,Tulare,36.208,-118.444
1984.0,2013,42,Santa Barbara,34.55048,-119.82428999999999
1708.0,2013,22,Mariposa,37.58202,-119.91071000000001
1383.0,2013,"33,",Riverside,33.62236,-117.40288000000001
1271.0,2013,37,San Diego,33.044579999999996,-116.5209
1070.0,2013,55,Tuolumne,38.25108,-120.02778
917.0,2013,27,Monterey,0.0,0.0
794.0,2013,15,Kern,35.707,-118.588
712.0,2013,15,Kern,34.882,-118.9194
712.0,2013,19,Los Angeles,34.49149,-118.61004399999999
612.0,2013,15,Kern,34.90327,-118.93388
572.0,2013,9,El Dorado,38.774,-120.29799999999999
534.0,2013,36,San Bernardino,34.071556,-117.048397
513.0,2013,32,Plumas,40.00842,-120.76466599999999
510.0,2013,33,Riverside,33.894055,-116.855019
502.0,2013,25,Modoc,41.2415,-121.035
500.0,2013,40,San Luis Obispo,35.15832,-120.05131000000002
492.0,2013,7,Contra Costa,37.96866,-121.91453
482.0,2013,20,Madera,37.015575,-119.78106000000001
413.0,2013,36,San Bernardino,34.302,-117.598
406.0,2013,14,Inyo,36.602575,-118.01651000000001
376.0,2013,28,Napa,38.628,-122.289
354.0,2013,35,San Benito,37.160346000000004,-120.937494
311.0,2013,33,Riverside,0.0,0.0
305.0,2013,4,Butte,39.439,-121.49700000000001
303.0,2013,39,San Joaquin,38.049929999999996,-120.90325
298.0,2013,4,Butte,39.434183000000004,-121.57680400000001
296.0,2013,17,Lake,0.0,0.0
274.0,2013,7,Contra Costa,39.90465,-121.74367
274.0,2013,20,Madera,37.116295,-119.63500400000001
268.0,2013,19,Los Angeles,34.149,-117.90799999999999
263.0,2013,37,San Diego,32.710918,-116.746023
243.0,2013,36,San Bernardino,34.35,-117.62
240.0,2013,1,Alameda,37.775057000000004,-121.73721299999998
237.0,2013,31,Placer,38.729296999999995,-121.38086200000001
226.0,2013,11,Glenn,0.0,0.0
217.0,2013,11,Glenn,39.514139,-122.56086200000001
213.0,2013,27,Monterey,0.0,0.0
200.0,2013,36,San Bernardino,34.2,-117.417
200.0,2013,52,Tehama,40.012398,-122.079871
196.0,2013,45,Shasta,40.5445,-121.3754
195.0,2013,52,Tehama,39.961309,-122.33087900000001
190.0,2013,28,Napa,38.382,-122.311
170.0,2013,42,Santa Barbara,34.611824,-120.074655
163.0,2013,57,Yolo,38.67479,-122.08725
163.0,2013,"9,34",El Dorado,38.63987,-121.08438000000001
163.0,2013,"9,34",Sacramento,38.63987,-121.08438000000001
159.0,2013,49,Sonoma,38.34599,-122.6503
158.0,2013,49,Sonoma,38.17693,-122.51253
150.0,2013,1,Alameda,0.0,0.0
150.0,2013,33,Riverside,33.990128000000006,-117.164997
150.0,2013,50,Stanislaus,37.436,-121.1955
150.0,2013,10,Fresno,36.7218,-119.2248
150.0,2013,4,Butte,0.0,0.0
149.0,2013,19,Los Angeles,34.419284000000005,-118.58688000000001
134.0,2013,54,Tulare,36.258,-118.459
125.0,2013,49,Sonoma,38.638828000000004,-122.655616
124.0,2013,48,Solano,38.08744,-122.13802
124.0,2013,24,Merced,37.03776,-121.00693899999999
124.0,2013,33,Riverside,33.963591,-117.18793400000001
120.0,2013,17,Lake,38.882214000000005,-122.567525
116.0,2013,9,El Dorado,38.682378,-120.839075
110.0,2013,36,San Bernardino,34.287,-117.45100000000001
108.0,2013,10,Fresno,36.772425,-119.62838899999998
105.0,2013,27,Monterey,36.1531,-120.8973
100.0,2013,19,Los Angeles,0.0,0.0
100.0,2013,55,Tuolumne,37.91529,-120.33313000000001
100.0,2013,37,San Diego,32.564465000000006,-116.900368
